,Text
630,"""Why Microsoft Accidentally Unleashed a Neo-Nazi Sexbot"".MIT Technology Review.Archivedfrom the original on 9 November 2018."
631,"Retrieved20 August2018.^Vincent, James (12 January 2018)."
632,"""Google 'fixed' its racist algorithm by removing gorillas from its image-labeling tech"".The Verge.Archivedfrom the original on 21 August 2018."
633,"Retrieved20 August2018.^Crawford, Kate (25 June 2016)."
634,"""Opinion | Artificial Intelligence's White Guy Problem"".New York Times.Archivedfrom the original on 14 January 2021."
635,"Retrieved20 August2018.^Simonite, Tom (30 March 2017)."
636,"""Microsoft: AI Isn't Yet Adaptable Enough to Help Businesses"".MIT Technology Review.Archivedfrom the original on 9 November 2018."
637,"Retrieved20 August2018.^Hempel, Jessi (13 November 2018)."
638,"""Fei-Fei Li's Quest to Make Machines Better for Humanity"".Wired.ISSN1059-1028.Archivedfrom the original on 14 December 2020."
639,"Retrieved17 February2019.^Char, D. S.; Shah, N. H.; Magnus, D."
640,(2018).
641,"""Implementing Machine Learning in Health Care—Addressing Ethical Challenges"".New England Journal of Medicine.378(11):981–983.doi:10.1056/nejmp1714229.PMC5962261.PMID29539284.^Research, AI (23 October 2015)."
642,"""Deep Neural Networks for Acoustic Modeling in Speech Recognition"".airesearch.com.Archivedfrom the original on 1 February 2016."
643,"Retrieved23 October2015.^""GPUs Continue to Dominate the AI Accelerator Market for Now"".InformationWeek."
644,December 2019.Archivedfrom the original on 10 June 2020.
645,"Retrieved11 June2020.^Ray, Tiernan (2019)."
646,"""AI is changing the entire nature of compute"".ZDNet.Archivedfrom the original on 25 May 2020."
647,"Retrieved11 June2020.^""AI and compute"".OpenAI."
648,16 May 2018.Archivedfrom the original on 17 June 2020.
649,"Retrieved11 June2020.^Jouppi, Norman P.; Young, Cliff; Patil, Nishant; Patterson, David; Agrawal, Gaurav; Bajwa, Raminder; Bates, Sarah; Bhatia, Suresh; Boden, Nan; Borchers, Al; Boyle, Rick; Cantin, Pierre-luc; Chao, Clifford; Clark, Chris; Coriell, Jeremy (24 June 2017)."
650,"""In-Datacenter Performance Analysis of a Tensor Processing Unit"".Proceedings of the 44th Annual International Symposium on Computer Architecture."
651,ISCA '17.
652,"New York, NY, US: Association for Computing Machinery."
653,"pp.1–12.arXiv:1704.04760.doi:10.1145/3079856.3080246.ISBN978-1-4503-4892-8.^Best, Jo (8 December 2020)."
654,"""What is neuromorphic computing?"
655,"Everything you need to know about how it is changing the future of computing"".ZDNET."
656,Retrieved21 November2024.^Hecate He (27 May 2021).
657,Michael Sarazen; Chain Zhang (eds.).
658,"""Cornell & NTT's Physical Neural Networks: A ""Radical Alternative for Implementing Deep Neural Networks"" That Enables Arbitrary Physical Systems Training"".Synced.Archivedfrom the original on 27 October 2021."
659,"Retrieved12 October2021.^Clark, Lindsay (5 October 2021)."
660,"""Nano-spaghetti to solve neural network power consumption"".The Register.Archivedfrom the original on 6 October 2021."
661,"Retrieved12 October2021.^Fafoutis, Xenofon; Marchegiani, Letizia; Elsts, Atis; Pope, James; Piechocki, Robert; Craddock, Ian (7 May 2018)."
662,"""Extending the battery lifetime of wearable sensors with embedded machine learning"".2018 IEEE 4th World Forum on Internet of Things (WF-IoT)."
663,pp.269–274.doi:10.1109/WF-IoT.2018.8355116.hdl:1983/b8fdb58b-7114-45c6-82e4-4ab239c1327f.ISBN978-1-4673-9944-9.S2CID19192912.Archivedfrom the original on 18 January 2022.
664,"Retrieved17 January2022.^""A Beginner's Guide To Machine learning For Embedded Systems"".Analytics India Magazine."
665,2 June 2021.Archivedfrom the original on 18 January 2022.
666,Retrieved17 January2022.^Synced (12 January 2022).
667,"""Google, Purdue & Harvard U's Open-Source Framework for TinyML Achieves up to 75x Speedups on FPGAs | Synced"".syncedreview.com.Archivedfrom the original on 18 January 2022."
668,"Retrieved17 January2022.^AlSelek, Mohammad; Alcaraz-Calero, Jose M.; Wang, Qi (2024)."
669,"""Dynamic AI-IoT: Enabling Updatable AI Models in Ultralow-Power 5G IoT Devices"".IEEE Internet of Things Journal.11(8):14192–14205.Bibcode:2024IITJ...1114192A.doi:10.1109/JIOT.2023.3340858.^Giri, Davide; Chiu, Kuan-Lin; Di Guglielmo, Giuseppe; Mantovani, Paolo;Carloni, Luca P.(15 June 2020)."
670,"""ESP4ML: Platform-Based Design of Systems-on-Chip for Embedded Machine Learning"".2020 Design, Automation & Test in Europe Conference & Exhibition (DATE)."
671,pp.1049–1054.arXiv:2004.03640.doi:10.23919/DATE48585.2020.9116317.ISBN978-3-9819263-4-7.S2CID210928161.Archivedfrom the original on 18 January 2022.
672,"Retrieved17 January2022.^Louis, Marcia Sahaya; Azad, Zahra; Delshadtehrani, Leila; Gupta, Suyog; Warden, Pete; Reddi, Vijay Janapa; Joshi, Ajay (2019)."
673,"""Towards Deep Learning using TensorFlow Lite on RISC-V"".Harvard University.Archivedfrom the original on 17 January 2022."
674,"Retrieved17 January2022.^Ibrahim, Ali; Osta, Mario; Alameh, Mohamad; Saleh, Moustafa; Chible, Hussein; Valle, Maurizio (21 January 2019)."
675,"""Approximate Computing Methods for Embedded Machine Learning"".2018 25th IEEE International Conference on Electronics, Circuits and Systems (ICECS)."
676,"pp.845–848.doi:10.1109/ICECS.2018.8617877.ISBN978-1-5386-9562-3.S2CID58670712.^""dblp: TensorFlow Eager: A Multi-Stage, Python-Embedded DSL for Machine Learning"".dblp.org.Archivedfrom the original on 18 January 2022."
677,"Retrieved17 January2022.^Branco, Sérgio; Ferreira, André G.; Cabral, Jorge (5 November 2019)."
678,"""Machine Learning in Resource-Scarce Embedded Systems, FPGAs, and End-Devices: A Survey"".Electronics.8(11): 1289.doi:10.3390/electronics8111289.hdl:1822/62521.ISSN2079-9292.Sources[edit]Domingos, Pedro(22 September 2015).The Master Algorithm: How the Quest for the Ultimate Learning Machine Will Remake Our World."
679,"Basic Books.ISBN978-0-465-06570-7.Nilsson, Nils(1998).Artificial Intelligence: A New Synthesis."
680,Morgan Kaufmann.ISBN978-1-55860-467-4.Archivedfrom the original on 26 July 2020.
681,"Retrieved18 November2019.Poole, David;Mackworth, Alan; Goebel, Randy (1998).Computational Intelligence: A Logical Approach."
682,New York: Oxford University Press.ISBN978-0-19-510270-3.Archivedfrom the original on 26 July 2020.
683,"Retrieved22 August2020.Russell, Stuart J.;Norvig, Peter(2003),Artificial Intelligence: A Modern Approach(2nd ed."
684,"), Upper Saddle River, New Jersey: Prentice Hall,ISBN0-13-790395-2.Further reading[edit]Alpaydin, Ethem (2020).Introduction to Machine Learning, (4th edition) MIT Press,ISBN9780262043793.Bishop, Christopher(1995).Neural Networks for Pattern Recognition, Oxford University Press.ISBN0-19-853864-2.Bishop, Christopher (2006)Pattern Recognition and Machine Learning, Springer.ISBN978-0-387-31073-2Domingos, Pedro(September 2015),The Master Algorithm, Basic Books,ISBN978-0-465-06570-7Duda, Richard O.;Hart, Peter E.; Stork, David G. (2001)Pattern classification(2nd edition), Wiley, New York,ISBN0-471-05669-3.Hastie, Trevor;Tibshirani, Robert&Friedman, Jerome H.(2009)The Elements of Statistical Learning, Springer.doi:10.1007/978-0-387-84858-7ISBN0-387-95284-5.MacKay, David J. C.Information Theory, Inference, and Learning AlgorithmsCambridge: Cambridge University Press, 2003.ISBN0-521-64298-1Murphy, Kevin P.  (2021).Probabilistic Machine Learning: An IntroductionArchived11 April 2021 at theWayback Machine, MIT Press.Nilsson, Nils J."
685,"(2015)Introduction to Machine LearningArchived16 August 2019 at theWayback Machine.Russell, Stuart &  Norvig, Peter (2020).Artificial Intelligence – A Modern Approach."
686,"(4th edition) Pearson,ISBN978-0134610993.Solomonoff, Ray, (1956)An Inductive Inference MachineArchived26 April 2011 at theWayback MachineA privately circulated report from the 1956Dartmouth Summer Research Conference on AI.Witten, Ian H.; Frank, Eibe; Hall, Mark A."
687,"(2011).Data Mining: Practical Machine Learning Tools and Techniques.doi:10.1016/C2009-0-19715-5.ISBN978-0-12-374856-0.External links[edit]International Machine Learning Societymloss[dead link]is an academic database of open-source machine learning software.vteArtificial intelligence(AI)HistorytimelineGlossaryCompaniesProjectsConceptsParameterHyperparameterLoss functionsRegressionBias–variance tradeoffDouble descentOverfittingClusteringGradient descentSGDQuasi-Newton methodConjugate gradient methodBackpropagationAttentionConvolutionNormalizationBatchnormActivationSoftmaxSigmoidRectifierGatingWeight initializationRegularizationDatasetsAugmentationPrompt engineeringReinforcement learningQ-learningSARSAImitationPolicy gradientDiffusionLatent diffusion modelAutoregressionAdversaryRAGUncanny valleyRLHFSelf-supervised learningReflectionRecursive self-improvementHallucinationWord embeddingVibe codingApplicationsMachine learningIn-context learningArtificial neural networkDeep learningLanguage modelLargeNMTReasoningModel Context ProtocolIntelligent agentArtificial human companionHumanity's Last ExamLethal autonomous weapons (LAWs)Generative artificial intelligence (GenAI)Weak AI(Hypothetical:Artificial general intelligence (AGI))(Hypothetical:Artificial superintelligence (ASI))Agent2Agent protocolImplementationsAudio–visualAlexNetWaveNetHuman image synthesisHWROCRComputer visionSpeech synthesis15.aiElevenLabsSpeech recognitionWhisperFacial recognitionAlphaFoldText-to-image modelsAuroraDALL-EFireflyFluxGPT ImageIdeogramImagenMidjourneyRecraftStable DiffusionText-to-video modelsDream MachineRunway GenHailuo AIKlingSoraSeedanceVeoMusic generationRiffusionSunoUdioTextWord2vecSeq2seqGloVeBERTT5LlamaChinchilla AIPaLMGPTClaudeGeminiGemini (language model)GemmaGrokLaMDABLOOMDBRXProject DebaterIBM WatsonIBM WatsonxGranitePanGu-ΣDeepSeekQwenDecisionalAlphaGoAlphaZeroOpenAI FiveSelf-driving carMuZeroAction selectionAutoGPTRobot controlPeopleAlan TuringWarren Sturgis McCullochWalter PittsJohn von NeumannChristopher D. ManningClaude ShannonShun'ichi AmariKunihiko FukushimaTakeo KanadeMarvin MinskyJohn McCarthyNathaniel RochesterAllen NewellCliff ShawHerbert A. SimonOliver SelfridgeFrank RosenblattBernard WidrowJoseph WeizenbaumSeymour PapertSeppo LinnainmaaPaul WerbosGeoffrey HintonJohn HopfieldJürgen SchmidhuberYann LeCunYoshua BengioLotfi A. ZadehStephen GrossbergAlex GravesJames GoodnightAndrew NgFei-Fei LiAlex KrizhevskyIlya SutskeverOriol VinyalsQuoc V. LeIan GoodfellowDemis HassabisDavid SilverAndrej KarpathyAshish VaswaniNoam ShazeerAidan GomezJohn SchulmanMustafa SuleymanJan LeikeDaniel KokotajloFrançois CholletArchitecturesNeural Turing machineDifferentiable neural computerTransformerVision transformer (ViT)Recurrent neural network (RNN)Long short-term memory (LSTM)Gated recurrent unit (GRU)Echo state networkMultilayer perceptron (MLP)Convolutional neural network (CNN)Residual neural network (RNN)Highway networkMambaAutoencoderVariational autoencoder (VAE)Generative adversarial network (GAN)Graph neural network (GNN)PoliticalAI Cold WarAI safety(Alignment)AI takeoverEthics of AIEUAI ActNationalismPrecautionary principleRegulation of AIUSVirtual politicianSocial and economicAI boomAI bubbleAI data centerAI literacyAI slopAI veganismAI winterAnthropomorphismArms raceCompetitionEnvironmental impactIn architectureIn educationIn healthcareChatbot psychosisMental healthIn visual artWorkplace impactCategoryvteComputer scienceThis template follows roughly the 2012ACM Computing Classification SystemHardwarePrinted circuit boardPeripheralIntegrated circuitVery-large-scale integrationSystem on a chip(SoC)Energy consumption(green computing)Electronic design automationHardware accelerationProcessorSize–FormSystemsorganizationComputer architectureComputational complexityDependabilityEmbedded systemReal-time computingCyber-physical systemFault toleranceWireless sensor networkNetworksNetwork architectureNetwork protocolNetwork componentsNetwork schedulerNetwork performance evaluationNetwork serviceSoftwareorganizationInterpreterMiddlewareVirtual machineOperating systemSoftware qualitySoftwarenotations,toolsProgramming paradigmProgramming languageCompilerDomain-specific languageModeling languageSoftware frameworkIntegrated development environmentSoftware configuration managementSoftware librarySoftware repositorySoftwaredevelopmentControl flowSoftware development processRequirements analysisSoftware designSoftware constructionSoftware deploymentSoftware engineeringSoftware maintenanceProgramming teamOpen sourcemodelTheory ofcomputingModel of computationStochasticThermodynamic computingFormal languageAutomata theoryComputability theoryComputational complexity theoryLogicSemanticsAlgorithmsAlgorithm designAnalysis of algorithmsAlgorithmic efficiencyRandomized algorithmComputational geometryMathematicsofcomputingDiscrete mathematicsProbabilityStatisticsMathematical softwareInformation theoryMathematical analysisNumerical analysisTheoretical computer scienceComputational problemInformationsystemsDatabasemanagementInformation storageEnterprise informationSocial informationGeographic informationDecision supportProcess controlMultimedia informationData miningDigital libraryComputing platformDigital marketingWorld Wide WebInformation retrievalSecurityCryptographyFormal methodsSecurity hackerSecurityservicesIntrusion detection systemHardware securityNetwork securityInformation securityApplication securityHuman-centeredcomputingInteraction designAugmented realityVirtual realitySocial computingUbiquitous computingVisualizationAccessibilityHuman–computer interactionMobile computingConcurrencyConcurrent computingParallel computingDistributed computingMultithreadingMultiprocessingArtificialintelligenceComputational intelligenceNatural language processingKnowledge representation and reasoningComputer visionAutomated planning and schedulingSearch methodologyControl methodPhilosophy ofDistributedMachinelearningSupervisedUnsupervisedReinforcementMulti-taskCross-validationGraphicsAnimationRenderingPhotograph manipulationGraphics processing unitImage compressionSolid modelingAppliedcomputingQuantum computingE-commerceEnterprise softwareComputational mathematicsComputational physicsComputational chemistryComputational biologyComputational social scienceComputational engineeringDifferentiable computingComputational healthcareDigital artElectronic publishingCyberwarfareElectronic votingVideo gamesWord processingOperations researchEducational technologyDocument managementOutlineGlossariesCategoryPortals:Computer programmingMathematicsSystems scienceTechnologyMachine learningat Wikipedia'ssister projects:Definitionsfrom WiktionaryMediafrom CommonsQuotationsfrom WikiquoteTextbooksfrom WikibooksResourcesfrom WikiversityDatafrom WikidataAuthority control databasesInternationalGNDNationalUnited StatesJapanCzech RepublicIsraelOtherYale LUXRetrieved from ""https://en.wikipedia.org/w/index.php?title=Machine_learning&oldid=1341681969""Categories:Machine learningCyberneticsLearningDefinitionData scienceHidden categories:Webarchive template wayback linksCS1 maint: work parameter with ISBNArticles with short descriptionShort description is different from WikidataUse dmy dates from April 2025Use British English from October 2025All Wikipedia articles written in British EnglishArticles with excerptsAll articles with unsourced statementsArticles with unsourced statements from October 2025All articles with dead external linksArticles with dead external links from February 2026This page was last edited on 4 March 2026, at 12:58(UTC).Text is available under theCreative Commons Attribution-ShareAlike 4.0 License;
additional terms may apply."
688,"By using this site, you agree to theTerms of UseandPrivacy Policy."
689,"Wikipedia® is a registered trademark of theWikimedia Foundation, Inc., a non-profit organization.Privacy policyAbout WikipediaDisclaimersContact WikipediaLegal & safety contactsCode of ConductDevelopersStatisticsCookie statementMobile viewSearchSearchToggle the table of contentsMachine learning88 languagesAdd topic"
